State	$	id	*	=	S	L	R	
0	err	s5	s3	err	2	4	1	
1	r1	err	err	err	err	err	err	
2	acc	err	err	err	err	err	err	
3	err	s5	s3	err	err	7	6	
4	r4	err	err	s8	err	err	err	
5	r3	err	err	r3	err	err	err	
6	r2	err	err	r2	err	err	err	
7	r4	err	err	r4	err	err	err	
8	err	s5	s3	err	err	7	9	
9	r0	err	err	err	err	err	err	
